column,dtype,category,n_unique,pct_nan
plate,float32,feature,1,0.0
well,string,feature,6,0.0
tile,float32,feature,1573,0.0
cell_0,float32,feature,1289,0.0
i_0,float32,feature,2060201,0.0
j_0,float32,feature,2059686,0.0
site,float32,feature,377,0.0
cell_1,float32,feature,4142,0.0
i_1,float32,feature,1649240,0.0
j_1,float32,feature,1649614,0.0
distance,float32,feature,2089374,0.0
fov_distance_0,float32,feature,2038766,0.0
fov_distance_1,float32,feature,2041293,0.0
sgRNA_0,string,feature,20424,0.0
gene_symbol_0,string,feature,5299,0.0
mapped_single_gene,float32,feature,1,0.0
channels_min,float32,feature,455,0.0
nucleus_i,float32,feature,2060201,0.0
nucleus_j,float32,feature,2059686,0.0
nucleus_bounds_0,float32,feature,2345,0.0
nucleus_bounds_1,float32,feature,2342,0.0
nucleus_bounds_2,float32,feature,2342,0.0
nucleus_bounds_3,float32,feature,2343,0.0
cell_i,float32,feature,2061688,0.0
cell_j,float32,feature,2060269,0.0
cell_bounds_0,float32,feature,2345,0.0
cell_bounds_1,float32,feature,2346,0.0
cell_bounds_2,float32,feature,2337,0.0
cell_bounds_3,float32,feature,2341,0.0
cytoplasm_i,float32,feature,2061005,0.0
cytoplasm_j,float32,feature,2061355,0.0
cytoplasm_bounds_0,float32,feature,2345,0.0
cytoplasm_bounds_1,float32,feature,2346,0.0
cytoplasm_bounds_2,float32,feature,2337,0.0
cytoplasm_bounds_3,float32,feature,2341,0.0
class,object,metadata,2,0.0
confidence,float32,feature,980926,0.0
batch_values,object,metadata,6,0.0
PC_0,float64,feature,2163650,0.0
PC_1,float64,feature,2163650,0.0
PC_2,float64,feature,2163650,0.0
PC_3,float64,feature,2163650,0.0
PC_4,float64,feature,2163650,0.0
PC_5,float64,feature,2163650,0.0
PC_6,float64,feature,2163650,0.0
PC_7,float64,feature,2163650,0.0
PC_8,float64,feature,2163650,0.0
PC_9,float64,feature,2163650,0.0
PC_10,float64,feature,2163650,0.0
PC_11,float64,feature,2163650,0.0
PC_12,float64,feature,2163650,0.0
PC_13,float64,feature,2163650,0.0
PC_14,float64,feature,2163650,0.0
PC_15,float64,feature,2163650,0.0
PC_16,float64,feature,2163650,0.0
PC_17,float64,feature,2163650,0.0
PC_18,float64,feature,2163650,0.0
PC_19,float64,feature,2163650,0.0
PC_20,float64,feature,2163650,0.0
PC_21,float64,feature,2163650,0.0
PC_22,float64,feature,2163650,0.0
PC_23,float64,feature,2163650,0.0
PC_24,float64,feature,2163650,0.0
PC_25,float64,feature,2163650,0.0
PC_26,float64,feature,2163650,0.0
PC_27,float64,feature,2163650,0.0
PC_28,float64,feature,2163650,0.0
PC_29,float64,feature,2163650,0.0
PC_30,float64,feature,2163650,0.0
PC_31,float64,feature,2163650,0.0
PC_32,float64,feature,2163650,0.0
PC_33,float64,feature,2163650,0.0
PC_34,float64,feature,2163650,0.0
PC_35,float64,feature,2163650,0.0
PC_36,float64,feature,2163650,0.0
PC_37,float64,feature,2163650,0.0
PC_38,float64,feature,2163650,0.0
PC_39,float64,feature,2163650,0.0
PC_40,float64,feature,2163650,0.0
PC_41,float64,feature,2163650,0.0
PC_42,float64,feature,2163650,0.0
PC_43,float64,feature,2163650,0.0
PC_44,float64,feature,2163650,0.0
PC_45,float64,feature,2163650,0.0
PC_46,float64,feature,2163650,0.0
PC_47,float64,feature,2163650,0.0
PC_48,float64,feature,2163650,0.0
PC_49,float64,feature,2163650,0.0
PC_50,float64,feature,2163650,0.0
PC_51,float64,feature,2163650,0.0
PC_52,float64,feature,2163650,0.0
PC_53,float64,feature,2163650,0.0
PC_54,float64,feature,2163650,0.0
PC_55,float64,feature,2163650,0.0
PC_56,float64,feature,2163650,0.0
PC_57,float64,feature,2163650,0.0
PC_58,float64,feature,2163650,0.0
PC_59,float64,feature,2163650,0.0
PC_60,float64,feature,2163650,0.0
PC_61,float64,feature,2163650,0.0
PC_62,float64,feature,2163650,0.0
PC_63,float64,feature,2163650,0.0
PC_64,float64,feature,2163650,0.0
PC_65,float64,feature,2163650,0.0
PC_66,float64,feature,2163650,0.0
PC_67,float64,feature,2163650,0.0
PC_68,float64,feature,2163650,0.0
PC_69,float64,feature,2163650,0.0
PC_70,float64,feature,2163650,0.0
PC_71,float64,feature,2163650,0.0
PC_72,float64,feature,2163650,0.0
PC_73,float64,feature,2163650,0.0
PC_74,float64,feature,2163650,0.0
PC_75,float64,feature,2163650,0.0
PC_76,float64,feature,2163650,0.0
